epoch,train_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,lr,time_s
1,0.528374,0.238405,0.231785,0.037169,0.021014,0.005,410.7
2,0.382799,0.166444,0.182312,0.017454,0.016588,0.005,408.6
3,0.334883,0.145501,0.164067,0.01134,0.013974,0.005,409.0
4,0.296589,0.127953,0.148124,0.008048,0.012464,0.005,409.3
5,0.263269,0.109872,0.135605,0.005956,0.011837,0.005,412.3
6,0.239017,0.097778,0.125624,0.004737,0.010878,0.005,411.8
7,0.217984,0.087284,0.117025,0.003643,0.010032,0.005,412.0
8,0.199148,0.077095,0.109128,0.003068,0.009857,0.005,408.9
9,0.182544,0.068845,0.101683,0.002923,0.009093,0.005,406.6
10,0.175665,0.064503,0.099869,0.002778,0.008515,0.005,409.1
11,0.165052,0.059706,0.094734,0.00245,0.008161,0.005,410.0
12,0.154416,0.055362,0.088915,0.002191,0.007948,0.005,409.6
13,0.145466,0.050974,0.084707,0.002251,0.007534,0.005,410.5
14,0.142352,0.048929,0.083727,0.00228,0.007416,0.0005,408.6
15,0.109302,0.037828,0.0639,0.00154,0.006036,0.0005,409.0
16,0.094776,0.033174,0.054958,0.00124,0.005404,0.0005,408.3
17,0.088449,0.031525,0.050697,0.001171,0.005056,0.0005,409.0
18,0.083632,0.030059,0.047628,0.00112,0.004826,0.0005,407.6
19,0.07986,0.029185,0.045042,0.000992,0.004641,0.0005,409.8
20,0.076822,0.028222,0.042986,0.001095,0.004518,0.0005,409.9
